,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:53.859238,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:02.642635,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:11.230460,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:19.829631,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:28.407268,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:36.774865,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:46.523894,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:19:56.013003,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:20:05.165658,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:20:15.093971,Trump,59.3,21317,Harris,38.9,13983,100
2024-10-07 13:20:24.090245,Trump,59.3,21317,Harris,38.9,13983,100
