,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:18:54.090754,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:02.876736,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:11.458673,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:20.040863,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:28.639787,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:37.108191,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:46.756698,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:19:56.240911,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:20:05.407064,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:20:15.306888,Trump,65.1,18952,Harris,33.3,9703,100
2024-10-07 13:20:24.322984,Trump,65.1,18952,Harris,33.3,9703,100
